,plate_well,WellId,Metadata_well_1,Plate_number,Drug_name,Treatment,Metadata_dil_factor,Metadata_concentration_uM,PlateNumber,Row,Column,CELL_COUNT,ObjectArea_NUC_A,ObjectShapeP2A_NUC_A,ObjectShapeLWR_NUC_A,ObjectTotalInten_NUC_A,ObjectAvgInten_NUC_A,ObjectVarInten_NUC_A,ObjectSize_NUC_A,RingTotalInten_RNA,RingAvgInten_RNA,CircTotalInten_RNA,CircAvgInten_RNA,RingSpotTotalInten_RNA,RingSpotAvgInten_RNA,RingSpotTotalArea_RNA,RingSpotAvgArea_RNA,RingSpotCount_RNA,CircSpotTotalInten_RNA,CircSpotAvgInten_RNA,CircSpotTotalArea_RNA,CircSpotAvgArea_RNA,CircSpotCount_RNA,TotalInten_RNA,AvgInten_RNA,RingTotalInten_PMG,RingAvgInten_PMG,CircTotalInten_PMG,CircAvgInten_PMG,RingSpotTotalInten_PMG,RingSpotAvgInten_PMG,RingSpotTotalArea_PMG,RingSpotAvgArea_PMG,RingSpotCount_PMG,CircSpotTotalInten_PMG,CircSpotAvgInten_PMG,CircSpotTotalArea_PMG,CircSpotAvgArea_PMG,CircSpotCount_PMG,TotalInten_PMG,AvgInten_PMG,RingTotalInten_MITO,RingAvgInten_MITO,CircTotalInten_MITO,CircAvgInten_MITO,RingSpotTotalInten_MITO,RingSpotAvgInten_MITO,RingSpotTotalArea_MITO,RingSpotAvgArea_MITO,RingSpotCount_MITO,CircSpotTotalInten_MITO,CircSpotAvgInten_MITO,CircSpotTotalArea_MITO,CircSpotAvgArea_MITO,CircSpotCount_MITO,TotalInten_MITO,AvgInten_MITO,RingTotalInten_NUC_Tex,RingAvgInten_NUC_Tex,CircTotalInten_NUC_Tex,CircAvgInten_NUC_Tex,RingSpotTotalInten_NUC_Tex,RingSpotAvgInten_NUC_Tex,RingSpotTotalArea_NUC_Tex,RingSpotAvgArea_NUC_Tex,RingSpotCount_NUC_Tex,CircSpotTotalInten_NUC_Tex,CircSpotAvgInten_NUC_Tex,CircSpotTotalArea_NUC_Tex,CircSpotAvgArea_NUC_Tex,CircSpotCount_NUC_Tex,TotalInten_NUC_Tex,AvgInten_NUC_Tex
140,1A1_H09,H09,H09,1,MG-101,treated,0.25,5,1A1,8,9,156,1599,1.195298119,1.403802987,14235850,8794.724919,2664.791113,45.12105092,10251614,973.7635031,7776164,3990.136402,3140,2160.8,1,1,1,521594,6077.837302,72.5,6,7,7776164,3990.136402,25469118.5,2438.328843,10902449.5,5745.546964,5031059.5,4803.538655,1096.5,13.90055509,94,6517556.5,6055.873602,985.5,37.3947619,27,10902449.5,5745.546964,19573893,1857.180561,9903899,5143.299923,2635805,4536.781866,535,3.857635019,147,2750961,5720.099944,436.5,4.168831169,88,9903899,5143.299923,9290686,882.612786,14238428,8737.257058,0,0,0,0,0,5295728,10082.47281,493,22.15073529,25.5,14238428,8737.257058
141,1A1_H10,H10,H10,1,MG-101,treated,0.125,2.5,1A1,8,10,303,2001,1.243146337,1.527996503,20316610,9843.930338,2720.296094,50.47526453,13741101,1418.340589,9054187,4605.822802,0,0,0,0,0,622015,7408.506173,86,11.36363636,7,9054187,4605.822802,29331054,2942.470414,12090667,6130.077208,7476107,5368.401756,1403,19.65822785,65,6094921,6807.688503,860,29.25,27,12090667,6130.077208,23307176,2358.456125,10085426,5023.090745,5287529,5171.446809,955,8.791044776,115,2461646,5968.445205,403,6.342857143,58,10085426,5023.090745,9446740,945.8228879,20252837,9790.933641,4038,2000.411765,1,1,1,7322482,10545.2442,668,38.76190476,18,20252837,9790.933641
142,1A1_H11,H11,H11,1,MG-101,treated,0.0625,1.25,1A1,8,11,526,1415,1.24871735,1.579172603,10639901.5,8215.652933,2076.638495,42.44565886,12349729,1639.795268,6238983,4239.505197,14674.5,3438.262626,3,1.6,1,498511,6324.855154,80,9.763888889,7,6238983,4239.505197,22407563.5,2972.380434,7825111,5451.552363,2872571.5,5246.155892,551,13.82716049,39,3401781,6100.457388,534.5,18.4205899,25,7825111,5451.552363,19418740.5,2553.311526,6728495,4480.726748,2898007,4857.259238,599,7.463790233,82,1061165.5,5309.295992,205,4.925,33,6728495,4480.726748,7678540,996.1539248,10631029.5,8198.618841,7026.5,2258.343023,2,1,1,4820881.5,8770.514341,548,35.81176471,17,10631029.5,8198.618841
143,1A1_H12,H12,H12,1,MG-101,treated,0.03125,0.625,1A1,8,12,767,1337,1.2249757,1.503623426,11922744,9581.90367,2387.067013,41.2591962,11486597,1712.13215,5752662,4216.682025,4851,2662,1,1,1,376889,6125.946809,62,8.2,6,5752662,4216.682025,20464738,3030.362894,7681224,5594.190194,2242940,5339.819444,400,13.5,27,3360650,6331.364991,506,18.85714286,21,7681224,5594.190194,16053540,2395.701649,5626367,4118.509888,1913546,4579.980431,407,6.389830508,62,631775,4950.616949,127,3.909090909,25,5626367,4118.509888,7395263,1085.986519,11850787,9567.211672,1829,1579.625,1,1,1,5381133,10195.83333,532,43.78571429,14,11850787,9567.211672
144,1A1_H13,H13,H13,1,MG-101,treated,0.015625,0.3125,1A1,8,13,750,1377.5,1.220986698,1.512246462,10887438.5,8531.882982,2154.206123,41.87943905,11660626,1714.807097,5730972.5,4134.930289,0,0,0,0,0,381760,6014.50303,65,7.645833333,7,5730972.5,4134.930289,20067983,2921.260053,7241504.5,5146.448001,1383861.5,5132.24043,259,11,23,2159117,5909.039429,369,11.1025,26,7241504.5,5146.448001,17481801.5,2517.733266,5858112.5,4183.501933,1924867,4681.673162,383.5,5.685021786,67,583966,4963.859459,118,3.482720178,27,5858112.5,4183.501933,7161520,1050.918951,10908059,8535.607471,4158.5,2005.522727,1,1,1,5036522,9078.32378,560,37.81593407,16,10908059,8535.607471
145,1A1_H14,H14,H14,1,DMSO,control,NULL,NULL,1A1,8,14,739,1299,1.244646577,1.587034548,11063518,9542.348066,2576.798843,40.66863864,10577492,1635.712643,5676126,4265.51052,0,0,0,0,0,212516,5804.823009,37,4.714285714,6,5676126,4265.51052,18949739,2890.079567,7356334,5521.203501,3097865,5023.843902,614,16.13924051,34,3921357,6170.517073,617,28.5,21,7356334,5521.203501,16282306,2474.637611,6178252,4626.910023,2451370,4986.071588,491,8.254237288,58,972557,5524.111111,173,4.785714286,30,6178252,4626.910023,6915265,1039.877908,11068399,9553.341441,0,0,0,0,0,5229706,10562.58631,506,42.18181818,13,11068399,9553.341441
146,1A1_H15,H15,H15,1,leupeptin,treated,1,20,1A1,8,15,684,1323,1.233505385,1.540636463,11170575,9190.439018,2342.158774,41.042611,11378522,1702.516802,5719144.5,4235.487893,0,0,0,0,0,322235,5979.890547,54.5,7.211111111,6,5719144.5,4235.487893,20990219,3140.332314,7754785.5,5604.034963,3307019.5,5523.367913,602,15.51534527,37,2976160.5,6365.769841,468,17.60282258,24,7754785.5,5604.034963,16841739,2508.215775,5862449,4302.112619,2421974.5,4951.328341,495,7.547895997,62.5,734785,5211.658823,143.5,4.485281749,25,5862449,4302.112619,6862300,1013.820494,11139545,9202.08848,0,0,0,0,0,5010518,9846.49642,527,44.14109848,13.5,11139545,9202.08848
147,1A1_H16,H16,H16,1,leupeptin,treated,0.5,10,1A1,8,16,873,1326,1.227735526,1.53573436,11014882,9060.040602,2231.484681,41.08911822,10626020,1721.566272,5115365,3859.020134,0,0,0,0,0,318798,5592.947368,57,7.5,6,5115365,3859.020134,19018240,3051.247402,6970557,5222.264217,1918908,5289.824645,342,13.06578947,25,2140056,5983.77027,356,12.66666667,22,6970557,5222.264217,16646130,2671.822787,5764961,4297.64107,1941236,4901.264,377,6.75862069,58,557731,5187.956522,109,4.034482759,23,5764961,4297.64107,6511104,1027.706952,11049144,9078.212613,3046,1853,1,1,1,5157298,9608.485605,544,44.66666667,14,11049144,9078.212613
148,1A1_H17,H17,H17,1,leupeptin,treated,0.25,5,1A1,8,17,841,1368,1.226535041,1.515635147,11109342,8944.301544,2214.969355,41.73477803,11025432,1721.955453,5359885,3834.008853,12887,3321.5,3,1.5,1,437743,5817.454545,75,8.714285714,8,5359885,3834.008853,20027439,3093.320044,7516798,5332.803645,1433171,5349.574074,264,10.08571429,25,2394293,5972.193798,392,10.08,31,7516798,5332.803645,17927184,2737.370242,6048221,4304.303162,1756470,4846.226277,343,5.028985507,69,542642,5122.408451,106,3.071428571,27,6048221,4304.303162,6789619,1032.716418,11100942,8938.32113,5135,2922.769231,2,1,1,5253338,9425.486614,567,41,15,11100942,8938.32113
149,1A1_H18,H18,H18,1,leupeptin,treated,0.125,2.5,1A1,8,18,864,1299.5,1.224376725,1.49234701,10812461,9077.098715,2267.917692,40.67646404,11185554.5,1828.373164,5433223.5,4089.725557,0,0,0,0,0,471841,6277.638158,75,8.975,7,5433223.5,4089.725557,19996583.5,3201.59008,7350223.5,5540.974793,1421658.5,5564.968775,245,10.95206972,20,2228407.5,6308.760842,348,10.81346154,26,7350223.5,5540.974793,18097624,2872.70931,6202076,4615.378543,2139003.5,5177.461399,400,6.085185185,62,646492,5561.467138,115,3.687684729,26,6202076,4615.378543,6732960,1081.530546,10771649.5,9055.635429,7185.5,2839.357143,2,1,1,5246396.5,9513.24505,536,42.6754386,14,10771649.5,9055.635429
150,1A1_H19,H19,H19,1,leupeptin,treated,0.0625,1.25,1A1,8,19,711,1389,1.239593682,1.542693716,11900598,9194.106952,2308.868936,42.05389076,11494517,1698.630611,5991771,4093.448849,0,0,0,0,0,398809,6078.92,66,8,7,5991771,4093.448849,20760265,2980.416988,7846984,5485.673208,2748554,5197.12766,515,13.18181818,36,3606506,6128.347222,560,21.14285714,27,7846984,5485.673208,17426648,2526.993007,6263157,4277.331173,2538487,4803.877419,515,7.684210526,65,797503,5241.740602,153,4.564102564,28,6263157,4277.331173,6855825,989.3635408,11970853,9220.858115,4775,2067.73913,1,1,1,5095505,9810.02834,532,39.20833333,15,11970853,9220.858115
151,1A1_H20,H20,H20,1,DMSO,control,NULL,NULL,1A1,8,20,822,1289.5,1.246861461,1.591748961,10602540.5,9003.549654,2299.946358,40.51965364,9676598.5,1520.318798,4861303,3669.105528,0,0,0,0,0,358612,5573.903125,66,8.454545455,7,4861303,3669.105528,18474165.5,2902.297402,6760471.5,5154.70415,1901657.5,4982.002007,373.5,11.83974359,30,2970949.5,5778.81466,499.5,17.37488708,25,6760471.5,5154.70415,13716145.5,2133.482683,4646689,3489.006211,1376566,3936.712043,347,5.558066933,62,438527.5,4196.295949,108,3.142857143,27,4646689,3489.006211,6280129.5,948.9356367,10602052,9003.24127,4965.5,2723.95,1,1,1,5004692.5,9593.48071,533,42.42708333,14,10602052,9003.24127
152,1A1_H21,H21,H21,1,leupeptin,treated,0.03125,0.625,1A1,8,21,871,1364,1.219468292,1.499215965,10806453,8713.800368,2146.1458,41.6737176,10679606,1694.249281,5208307,3756.401456,14039,3381,4,1.666666667,1,418224,5670.761905,75,9,7,5208307,3756.401456,19627502,3082.513746,7237637,5244.636219,1791060,5177.324324,329,11.41935484,28,2454201,5975.85034,419,12.63636364,29,7237637,5244.636219,16007980,2528.075061,5453686,3917.189227,1718744,4449.80786,374,6.137254902,62,452042,4749.870968,99,3.516129032,24,5453686,3917.189227,6229508,963.1439515,10831626,8730.568783,5538,2706,2,1,1,4921008,9207.849315,532,37.76923077,16,10831626,8730.568783
153,1A1_H22,H22,H22,1,leupeptin,treated,0.015625,0.3125,1A1,8,22,852,1352,1.220436252,1.495067734,11456810,9212.179534,2275.714674,41.48999716,10132726,1606.565256,4903578,3627.721429,6656.5,2877.628571,2,1,1,411769,5583.375,77,9.190909091,7,4903578,3627.721429,19918009.5,3069.625117,7343891,5392.921584,2044936.5,5148.896659,387,12.05012531,31,2952914.5,6072.32982,472.5,15.38997696,29,7343891,5392.921584,17389434,2670.588066,5932060,4277.426782,2082145.5,4746.476479,427,6.97503876,60,567593.5,5241.560641,112.5,3.854497354,24,5932060,4277.426782,6060809.5,935.6320596,11473861,9231.28352,4595.5,2244.895833,1,1,1,5148740,9701.194986,543,44.31372549,14,11473861,9231.28352
154,1A1_H23,H23,H23,1,BTB06584,treated,1,20,1A1,8,23,753,1271,1.234040421,1.569746781,9924795,8579.528474,2166.395318,40.22794379,8671491,1389.476532,4283353,3297.785261,6392,2598,2,1,1,340820,5050.621053,68,8,7,4283353,3297.785261,17704022,2813.921029,6371121,4844.383205,1951263,4548.422764,412,9.906976744,38,2955382,5335.07537,519,15.80952381,33,6371121,4844.383205,15498809,2470.294156,5255840,4010.0415,1696925,4320.32,364,5.128205128,70,542437,4672.095745,116,2.956521739,30,5255840,4010.0415,5674080,883.33889,9919981,8586.315622,4175,1999,1,1,1,4699669,9053.690531,513,40,14,9919981,8586.315622
155,1A1_I02,I02,I02,1,BTB06584,treated,0.5,10,1A1,9,2,723,1344,1.224848286,1.511050108,9426302,7682.00457,1920.006375,41.36706357,9191528,1471.259919,4454440,3220.785438,8765,2624.4,3,1,1,388433,4873.366337,81,9.181818182,8,4454440,3220.785438,18783919,2884.42417,6583128,4828.708394,1902494,4792.614958,396,9.363636364,34,2330751,5412.602564,430,11.02941176,28,6583128,4828.708394,21334449,3294.501366,7086859,5183.497746,3239149,5517.73243,568,6.430379747,87,957935,5931.893333,164,3.579710145,36,7086859,5183.497746,4878966,743.7310288,9388132,7724.776965,4028,2592.5,1,1,1,4342411,8029.404362,548,38.29411765,16,9388132,7724.776965
156,1A1_I03,I03,I03,1,BTB06584,treated,0.25,5,1A1,9,3,733,1370,1.228234999,1.523187917,9282396,7481.410841,1873.407402,41.76527477,8923848,1382.151102,4101116,3026.307756,6632,2405.032258,2,1,1,364207,4521.825,83,9.285714286,8,4101116,3026.307756,18887914,2905.678611,6966051,5087.850242,1898203,4768.522368,379,10.19767442,37,3086419,5633.585327,532,16.06666667,31,6966051,5087.850242,19489714,2960.311084,6350888,4677.116987,2655353,4974.773399,527,5.879032258,89,774674,5402.310345,143,3.414634146,36,6350888,4677.116987,4575440,687.127483,9359920,7538.789107,4259,3225,1,1,1,4416657,7923.730337,571,40.88571429,15,9359920,7538.789107
157,1A1_I04,I04,I04,1,DMSO,control,NULL,NULL,1A1,9,4,789,1358,1.240420665,1.584469355,9129573,6849.179745,1678.552673,41.58195885,9260498,1417.9004,4514204,3265.287643,6595,2590.761905,2,1,1,359664,4908.982609,76,9.133333333,7,4514204,3265.287643,18951166,2868.076935,6949746,5015.141653,1869257,4761.380165,379,10.87096774,33,2798209,5596.902116,473,15.39344262,26,6949746,5015.141653,19042146,2862.847526,6413566,4631.541308,2255758,5025.995516,420,6.194805195,69,671689,5392.780952,125,3.631578947,28,6413566,4631.541308,4294659,629.5153907,9181885,6877.421533,5885,2926.857143,2,1,1,3893012,7223.582133,538,34.15,17,9181885,6877.421533
158,1A1_I05,I05,I05,1,BTB06584,treated,0.125,2.5,1A1,9,5,810,1401,1.21467824,1.506185706,9684116,7142.762249,1736.82491,42.23515837,9811534,1432.331849,4505645,3147.875288,2066.5,1704.888889,1,1,1,327841.5,4691.923098,75,8.607692308,7,4505645,3147.875288,19672758.5,2866.05005,7179317,4961.936097,1527288.5,4872.280581,308,9.16951567,33,2485777,5544.5287,464,11.46972973,34.5,7179317,4961.936097,18089255.5,2629.603059,5868469,4091.746206,1730027.5,4586.491374,368.5,5.174745763,71,422824,4820.643115,87,2.726539589,28,5868469,4091.746206,4576948.5,658.6493572,9714674.5,7176.35413,3629.5,2540.282609,1,1,1,4267077.5,7420.089842,570.5,36.42434211,17,9714674.5,7176.35413
159,1A1_I06,I06,I06,1,BTB06584,treated,0.0625,1.25,1A1,9,6,781,1354,1.230420029,1.528164129,9128092,7175.057998,1757.681664,41.52067369,9367163,1367.242261,4319099,3168.701538,0,0,0,0,0,311682,4836.573529,70,8.285714286,7,4319099,3168.701538,19425276,2798.194894,7024061,5025.680523,1637183,4963.498607,332,10.22580645,31,2555618,5717.467532,450,14.83333333,28,7024061,5025.680523,17496312,2554.519731,5795900,4148.228431,1979861,4529.690058,416,5.861538462,71,573600,4854.78481,118,3.333333333,29,5795900,4148.228431,4429933,639.9843159,9179725,7209.5,4013,3063.833333,1,1,1,4269402,7555.926136,556,39.2,16,9179725,7209.5
160,1A1_I07,I07,I07,1,BTB06584,treated,0.03125,0.625,1A1,9,7,803,1382,1.214579775,1.480582146,8525003,6887.396359,1661.284556,41.94778958,8689763,1274.066692,3993206,2908.340993,3946,2032,1,1,1,363303,4436.55102,82,9.15,8,3993206,2908.340993,19309742,2785.429503,6923872,4947.229358,1215213,4817.537549,247,8.304347826,28,2481027,5537.501035,453,11.80327869,35,6923872,4947.229358,17348160,2517.018523,5633557,4024.09569,1344558,4334.733974,297,3.807017544,72,429422,4646.38835,91,2.416666667,30,5633557,4024.09569,4602432,660.5830567,8510674,6877.369775,6852,3039.857143,2,1,1,4030070,7111.407953,568,34.80952381,18,8510674,6877.369775
161,1A1_I08,I08,I08,1,BTB06584,treated,0.015625,0.3125,1A1,9,8,784,1337.5,1.223626188,1.506320791,8607671.5,6857.65153,1661.423641,41.26690964,9509000,1404.755677,4402480,3250.881531,7023,2501.925,2,1,1,351976.5,4992.135121,72,8.878676471,8,4402480,3250.881531,19833040,2872.399627,7157045.5,5187.036779,1554912,4896.784121,303.5,9.532738095,29,2976860,5807.579831,495,14.75524476,29,7157045.5,5187.036779,16066585.5,2298.638807,5052098,3684.817501,1183840.5,3970.558051,292,3.930952381,74,376670.5,4326.550075,87,2.326666667,30,5052098,3684.817501,4549228.5,660.0123748,8625027.5,6898.660796,7083,3131.931373,2,1,1,3913880,7086.805957,552,33.41640867,17,8625027.5,6898.660796
162,1A1_I09,I09,I09,1,DMSO,control,NULL,NULL,1A1,9,9,756,1258.5,1.243578693,1.576799983,7961064.5,7119.296914,1823.375978,40.0296315,7861046.5,1195.616808,3753238.5,2966.842104,14726.5,2646.823232,5,2,1,274485.5,4451.478986,63,7.8,7,3753238.5,2966.842104,17785221,2699.528757,6349316.5,5020.090599,2387027,4549.514106,541.5,12.72978525,36,3365607.5,5522.994619,591,22.875,26,6349316.5,5020.090599,14842954,2220.424345,4854369.5,3776.641569,1557822,3965.226242,385,5.287411626,72,551635,4345.902555,127,3.079277865,32,4854369.5,3776.641569,4282670.5,622.5465116,7962314.5,7164.388236,3520.5,1989.134454,1,1,1,3850011.5,7563.256171,494,36.6005291,15,7962314.5,7164.388236
163,1A1_I10,I10,I10,1,CK-636,treated,1,20,1A1,9,10,619,1293,1.23345418,1.543131231,8469077,7268.368769,1843.432273,40.57460698,7843903,1223.57892,3654855,2845.192909,4554,2152.875,2,1,1,260212,4124.855072,66,7.75,7,3654855,2845.192909,18084571,2764.437801,6629392,5033.050686,2835703,4476.935401,608,11.44,49,3755651,5452.730659,635,25.75675676,25,6629392,5033.050686,18269006,2792.351382,5926656,4465.561325,2830351,4790.611913,572,6.942307692,81,796550,5159.25641,156,3.790697674,34,5926656,4465.561325,4106673,620.6822134,8511428,7319.876416,0,0,0,0,0,4079555,7725.706085,525,40.52941176,15,8511428,7319.876416
164,1A1_I11,I11,I11,1,CK-636,treated,0.5,10,1A1,9,11,770,1308.5,1.217497127,1.518630472,8499046,6988.847877,1703.802995,40.81707237,7863863.5,1217.416595,3636069,2754.107534,3401,1861.75,1,1,1,258667,4008.7687,65,7.154761905,7,3636069,2754.107534,18468736,2832.797174,6682586.5,4975.025849,1930714.5,4840.292029,396.5,11.375,33,2651738,5595.6476,476.5,13.98979592,28,6682586.5,4975.025849,17451352,2623.314165,5570755,4161.010203,1871234.5,4650.074444,395,5.841568627,65.5,469462.5,4953.951174,95.5,3.031280547,25,5570755,4161.010203,4257782.5,635.0651225,8573672.5,7046.216876,3683,2598.157143,1,1,1,3981525.5,7414.254139,546,38.27142857,16,8573672.5,7046.216876
165,1A1_I12,I12,I12,1,CK-636,treated,0.25,5,1A1,9,12,829,1302,1.219919812,1.491943033,8423100,7061.488453,1737.661992,40.71557303,9167546,1429.882919,4278349,3176.779183,0,0,0,0,0,272405,4764.320988,60,7,7,4278349,3176.779183,19002348,2900.737268,6836688,5073.269054,1688845,5001.886555,320,10.77777778,29,2476681,5728.948905,428,13.42857143,27,6836688,5073.269054,18349683,2795.394994,5880445,4383.446655,1920924,4935.475177,371,5.9375,61,518483,5217.366667,100,3.344827586,24,5880445,4383.446655,4382227,666.0865593,8442392,7090.656522,3692,2435.909091,1,1,1,3909361,7464.186773,515,33.83333333,18,8442392,7090.656522
166,1A1_I13,I13,I13,1,CK-636,treated,0.125,2.5,1A1,9,13,778,1339.5,1.221179138,1.518344343,8936360,7212.234559,1775.811065,41.29775189,9314845.5,1374.18265,4261951.5,3107.764532,10151,2373.609127,3,1.25,1,326316,4584.258974,76,8.348484848,7,4261951.5,3107.764532,19974675,2893.337443,7329380,5326.0801,1806724.5,5016.770042,353,11.19827586,30,2992291,5909.134821,500.5,18.61651584,25,7329380,5326.0801,17705381.5,2553.11902,5711308,4110.098961,1692721.5,4534.374784,364,5.240522408,68,479921.5,4868.60134,100.5,3.04173913,25,5711308,4110.098961,4687675.5,664.3257235,8954355,7236.029281,2783.5,1262.075758,1,1,1,4072032,7617.401113,534,34.36458333,17,8954355,7236.029281
167,1A1_I14,I14,I14,1,CK-636,treated,0.0625,1.25,1A1,9,14,828,1345,1.218859534,1.489949474,8456250,6902.333296,1645.874032,41.38244738,8109144.5,1211.227692,3747180.5,2802.49119,0,0,0,0,0,269369,4281.006044,66.5,8,7,3747180.5,2802.49119,19154323.5,2812.884035,7034168.5,5114.318622,1595968,4908.176875,326.5,10.84166667,28.5,2813563,5723.679893,482.5,16.01505909,27,7034168.5,5114.318622,15211045,2195.060487,4743403.5,3474.381922,1315377.5,3931.888516,327.5,4.834474886,65,328381.5,4111.770455,79,2.596296296,24.5,4743403.5,3474.381922,4251682.5,618.9243774,8498576.5,6934.755966,3773.5,2992.965054,1,1,1,3982229.5,7208.805699,544,36.54166667,16,8498576.5,6934.755966
168,1A1_I15,I15,I15,1,DMSO,control,NULL,NULL,1A1,9,15,801,1244,1.232717603,1.555415352,8398452,7320.368475,1892.720707,39.79836672,8884842,1361.72999,4304175,3327.667845,0,0,0,0,0,227461,4520.520325,49,6.666666667,6,4304175,3327.667845,18791974,2870.853366,7105990,5381.984366,1976181,5090.333333,377,13.54901961,26,3077587,6148.31405,469,23.28,18,7105990,5381.984366,14267483,2151.485679,4672475,3590.902861,1298633,4026.937824,310,5.134831461,57,423650,4282.864078,98,3.098039216,23,4672475,3590.902861,4350867,655.856622,8430280,7384.929204,0,0,0,0,0,3946179,8025.542923,480,35.14285714,15,8430280,7384.929204
169,1A1_I16,I16,I16,1,CK-636,treated,0.03125,0.625,1A1,9,16,734,1289,1.234731728,1.525404476,8677262,7400.289415,1846.102538,40.5117949,9367834,1404.620747,4345798,3349.543992,8741.5,2528.25,2,1.5,1,231127,4639.210087,51.5,6.5,7,4345798,3349.543992,19885385.5,2946.455685,7449760.5,5768.647677,2356795,5207.42645,450.5,14.21527778,28,3794405,6406.991487,571,24.52727273,21,7449760.5,5768.647677,16997451.5,2516.246341,5561880.5,4118.864192,1887184.5,4601.986033,416.5,6.556918239,60,556584.5,5007.528915,114,3.963870968,24,5561880.5,4118.864192,4494999,667.8941331,8726304.5,7440.135711,3491.5,1574.833333,1,1,1,4004593,7795.808921,502.5,34.48913043,17,8726304.5,7440.135711
170,1A1_I17,I17,I17,1,CK-636,treated,0.015625,0.3125,1A1,9,17,761,1345,1.226029014,1.533025373,8794044,7303.246696,1771.120901,41.38245024,9457765,1416.551488,4405523,3284.340484,13245,2777,4,1.8,1,365928,4920.111111,78,8.777777778,8,4405523,3284.340484,20112255,2957.275216,7297562,5252.738488,1816379,5044.493097,352,10.51315789,30,3172601,5824.173184,543,13.92307692,32,7297562,5252.738488,17620387,2571.777389,5555224,4069.898551,1638947,4410.90573,364,4.702898551,79,512736,4767.867347,108,2.75,31,5555224,4069.898551,4829590,706.4167534,8790139,7304.691771,8226,3316.875,2,1,1,4237607,7547.573006,552,35.125,17,8790139,7304.691771
171,1A1_I18,I18,I18,1,eliglustat,treated,1,20,1A1,9,18,708,1288.5,1.220228846,1.517890499,8594115,7357.854853,1823.072074,40.50392091,7990660,1245.3002,3770017,2889.27162,24215.5,2628.093583,8,2,3,332185.5,4195.967033,81,8.763888889,8,3770017,2889.27162,19197680,2997.615179,6664398.5,5018.443379,2938864.5,4832.229202,571,10.83742883,48,2907154,5499.688494,509,12.7922619,31,6664398.5,5018.443379,13446743.5,2052.633838,4169254.5,3169.305025,1260326,3596.484664,331.5,3.46049896,91,324003,3639.94351,90,2.106848446,32,4169254.5,3169.305025,4571355,697.7373718,8617657.5,7357.637147,0,0,0,0,0,4225967.5,7727.891634,529.5,38.775,16,8617657.5,7357.637147
172,1A1_I19,I19,I19,1,eliglustat,treated,0.5,10,1A1,9,19,707,1262,1.228870234,1.520103391,8856607,7970.170093,2024.123389,40.08526295,8583825,1320.498806,4105229,3228.995676,12824,2916,4,2,1,243169,4716.088235,51,7.125,6,4105229,3228.995676,18415827,2872.729597,6876140,5464.729761,3690796,4861.38195,732,16.17857143,44,4032588,5976.247906,622,31.56097561,19,6876140,5464.729761,15566652,2391.852184,5148230,4080.28757,2560431,4393.161644,574,7.820512821,75,751660,4842.177725,156,4.571428571,27,5148230,4080.28757,4334163,653.6635827,8869095,8012.201908,0,0,0,0,0,4149636,8427.842569,479,39,14,8869095,8012.201908
173,1A1_I20,I20,I20,1,eliglustat,treated,0.25,5,1A1,9,20,839,1283,1.226997814,1.511430814,8838463,7509.591676,1828.607427,40.4174014,9053373,1456.530109,4372310,3396.532633,20517,3123.647059,6,2.375,2,337346,5147.347222,67,7.666666667,7,4372310,3396.532633,18801684,3016.675168,7138287,5468.733296,2501613,5187.828608,474,14.20408163,31,3170967,6109.789541,501,20,23,7138287,5468.733296,15409748,2425.32933,5200812,3973.990164,1784557,4365.621664,400,6.306818182,63,474263,4753.543103,106,3.583333333,24,5200812,3973.990164,4376375,681.5054157,8885846,7539.617818,4170,2614.857143,1,1,1,3864113,7876.603093,476,34.04761905,17,8885846,7539.617818
174,1A1_I21,I21,I21,1,DMSO,control,NULL,NULL,1A1,9,21,889,1256,1.241185961,1.603594321,8000403,7156.770707,1766.02121,39.98985957,7878057,1354.171904,3894769,3057.15814,11700,2497.263158,4,1.6,1,291924,4817,64,7.777777778,7,3894769,3057.15814,17120613,2869.439152,6219469,4947.358199,1884890,4744.72892,384,11.41666667,30,2945976,5523.704875,520,16.85365854,25,6219469,4947.358199,10949282,1833.643955,3573346,2841.408269,801020,3157.356522,247,3.79245283,61,255865,3362.96875,76,2.222222222,25,3573346,2841.408269,4040841,672.7093275,8014711,7165.712381,6996,3217.2,2,1,1,3812005,7540.015437,502,34.16666667,16,8014711,7165.712381
175,1A1_I22,I22,I22,1,eliglustat,treated,0.125,2.5,1A1,9,22,790,1292,1.221217742,1.537681765,8642592,7469.286436,1823.213438,40.5588865,8669401.5,1347.473957,4103816.5,3122.031886,4302,2335.913462,1,1,1,277475.5,4865.414167,63,7.666666667,7,4103816.5,3122.031886,18838683,2859.585618,6763096,5178.713513,2282088.5,4790.200357,463.5,11.93265039,36,3525454.5,5692.888136,587,22.46621622,26,6763096,5178.713513,11933207.5,1798.797275,3676738,2813.258846,1011628.5,3134.087363,319.5,4.2550708,70,267034.5,3335.190766,81,2.5,25,3676738,2813.258846,4398666,660.9129101,8676816,7500.093994,3973,2863.166667,1,1,1,3965321,7854.394972,497.5,36.02631579,15,8676816,7500.093994
